hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y
WASP-52,b,Eclipse,GTO,1224,1,4,Executed,BOTS,PRISM,SUB512S,NRSRAPID,3,45087.36,45087.61,6.59,Birkmann,12,23 13 58.7501 +08 45 39.86,10.086,174.82,5000,0.87,0.79,4.503,1.7497812,0.027,85.35,0.46,1.27,8.08,0.34,1300.2,2.9,1.9,371.56,57.4,X,0.03,,,WASP-52 b,WASP-52 b,1,WASP-52,146.2,6.36,-6.36,0.29,0.03,-0.03,1315,b,1.7497798,0.0272,14.24,0.34,-0.34,1.8096,14/5/2014,0.79,5000,174.818,10.588,10.086
HAT-P-26,b,Transit,GTO,1177,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,90,45087.86,45088.19,8.84,Greene,12,14 12 37.5722 +04 03 33.90,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,,HAT-P-26 b,HAT-P-26 b,1,HAT-P-26,22.2481,6.3566,-6.3566,0.4,0.1,-0.1,940.71,b,4.23452,0.0479,7.06167,0.44836,-0.44836,2.5166257,25/4/2018,0.87,5079,141.837,10.08,9.581
WASP-107,b,Transit,GTO,1201,1,8,Executed,SOSS,X,SUBSTRIP256,NISRAPID,5,45088.79,45089.1,8.26,Lafreniere,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,,WASP-107 b,WASP-107 b,1,WASP-107,30.5,1.7,-1.7,0.134,0.015,-0.013,672.5,b,5.7214742,0.0553,10.55,0.32,-0.32,2.7528,10/12/2020,0.67,4425,64.7414,9.378,8.637
WASP-80,b,Eclipse,GTO,1185,1,5,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,12,45090.31,45090.61,7.95,Greene,12,20 12 40.0319 -02 08 39.97,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,,WASP-80 b,WASP-80 b,1,WASP-80,170.99254,11.12405,-11.44188,0.717,0.039,-0.032,825,b,3.06785234,0.0344,11.197791,0.33627,-0.347479,2.131,16/4/2015,0.586,4143,49.7876,9.218,8.351
HATS-72,b,Transit,GO,2594,1,2,Executed,SOSS,X,FULL,NISRAPID,4,45091.11,45091.16,8.32,Spake,12,22 36 6.2016 -17 00 1.10,9.764,127.59,4656.1,0.731,0.721,4.585,7.3279485,0.067,89.56,0.125,0.785,5.77,0.39,739.4,1.4,3,254.14,2.59,X,0.1,,,HATS-72 b,HATS-72 b,1,HATS-72,39.855882,1.239537,-1.239537,0.411,0.015,-0.01,739.3,b,7.3279474,0.066517,8.0973816,0.0358688,-0.0358688,3.08472,21/2/2020,0.7214,4656.1,127.589,10.424,9.764
HAT-P-26,b,Transit,GTO,1312,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,45092.12,45092.42,7.93,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,,HAT-P-26 b,HAT-P-26 b,1,HAT-P-26,22.2481,6.3566,-6.3566,0.4,0.1,-0.1,940.71,b,4.23452,0.0479,7.06167,0.44836,-0.44836,2.5166257,25/4/2018,0.87,5079,141.837,10.08,9.581
TRAPPIST-1,f,Transit,GTO,1201,1,105,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45092.52,45092.73,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,,TRAPPIST-1 f,TRAPPIST-1 f,1,TRAPPIST-1,1.039,0.031,-0.031,5.022904,0.13784,-0.159895,217.7,f,9.20754,0.03849,1.045,0.013,-0.012,1.048,14/11/2022,0.1192,2566,,11.354,10.296
WD 1856+534,b,Transit,GO,2507,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,16,45094.08,45094.21,3.03,Vanderburg,12,18 57 39.7620 +53 30 32.49,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,X,-999,,,WD 1856+534 b,WD 1856+534 b,1,WD 1856+534,4386.054,,,,,,163,b,1.4079405,0.0204,10.4,1,-1,0.1333,10/12/2020,0.0131,4710,24.7359,15.677,15.548
HAT-P-26,b,Eclipse,GTO,1312,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,115,45094.21,45094.56,9.5,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,,HAT-P-26 b,HAT-P-26 b,1,HAT-P-26,22.2481,6.3566,-6.3566,0.4,0.1,-0.1,940.71,b,4.23452,0.0479,7.06167,0.44836,-0.44836,2.5166257,25/4/2018,0.87,5079,141.837,10.08,9.581
LP 791-18,c,Transit,GTO,1201,1,401,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45094.68,45094.89,5.22,Lafreniere,12,11 02 45.7162 -16 24 23.20,10.644,26.49,2960,0.139,0.171,5.115,4.9899134,0.03,89.55,0.022,0.218,13.38,3.29,343.9,1.9,1.2,183.37,0.01,X,-0.09,clear,no,LP 791-18 c,LP 791-18 c,1,LP 791-18,7.1,0.7,-0.7,,,,324.4,c,4.9899093,0.02961,2.438,0.096,-0.096,1.167,14/5/2023,0.182,2960,26.4927,11.559,10.644
L 168-9,b,Transit,GO,2512,1,11,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45095.74,45095.97,5.97,Batalha,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,,L 168-9 b,L 168-9 b,1,L 168-9,4.07,0.45,-0.45,5.18,1.46,-1.46,998,b,1.40152604,0.0208,1.63,0.14,-0.14,1.02,30/8/2024,0.604,3842,25.1496,7.941,7.082
LHS 3844,b,Eclipse,GO,1846,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,30,45096.12,45096.25,4.08,Kreidberg,12,22 41 59.0890 -69 10 19.59,9.145,14.88,3036,0.151,0.189,5.06,0.4629294,0.006,88.5,-1,0.119,-1,-1,807,0.4,0.5,-1,4.03,X,-999,,,LHS 3844 b,LHS 3844 b,1,LHS 3844,,,,,,,805,b,0.46292913,0.00622,1.303,0.022,-0.022,0.5212,22/1/2019,0.189,3036,14.8846,10.046,9.145001
HAT-P-12,b,Transit,GTO,1281,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,15,45097.24,45097.55,8.25,Lagage,12,13 57 33.2749 +43 29 35.92,10.108,142.75,4650,0.733,0.701,4.61,3.2130584,0.038,89,0.209,0.959,6.46,0.36,958.3,2.1,2.3,325.59,13.61,X,-0.29,,,HAT-P-12 b,HAT-P-12 b,1,HAT-P-12,67.059,3.814,-3.814,0.3192,0.016,-0.016,963,b,3.2130598,0.0384,10.749,0.325,-0.235,2.3376,14/5/2014,0.701,4650,142.751,10.794,10.108
LHS 475,b,Transit,GO,1981,1,45,Failed,BOTS,G395H,SUB2048,NRSRAPID,9,45098.95,45099.01,4.64,Stevenson,0,19 20 57.1077 -82 33 35.24,7.686,12.48,3289,0.268,0.286,4.967,2.029101,0.02,87.29,-1,0.088,-1,-1,594.3,0.1,0.7,-1,0.24,X,-999,,,LHS 475 b,LHS 475 b,1,LHS 475,,,,,,,586,b,2.029088,0.02037,0.991,0.05,-0.05,0.725,19/9/2023,0.2789,3300,12.4814,8.555,7.686
TRAPPIST-1,e,Transit,GTO,1331,1,3,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45099.8,45100.02,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,,TRAPPIST-1 e,TRAPPIST-1 e,1,TRAPPIST-1,0.692,0.022,-0.022,4.901605,0.165408,-0.181949,249.7,e,6.101013,0.02925,0.92,0.013,-0.012,0.9293,14/11/2022,0.1192,2566,,11.354,10.296
WASP-107,b,Transit,GTO,1224,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,20,45100.24,45100.55,8.59,Birkmann,12,12 33 32.7394 -10 08 46.38,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,,WASP-107 b,WASP-107 b,1,WASP-107,30.5,1.7,-1.7,0.134,0.015,-0.013,672.5,b,5.7214742,0.0553,10.55,0.32,-0.32,2.7528,10/12/2020,0.67,4425,64.7414,9.378,8.637
TRAPPIST-1,f,Transit,GTO,1201,1,104,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45101.78,45101.95,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,,TRAPPIST-1 f,TRAPPIST-1 f,1,TRAPPIST-1,1.039,0.031,-0.031,5.022904,0.13784,-0.159895,217.7,f,9.20754,0.03849,1.045,0.013,-0.012,1.048,14/11/2022,0.1192,2566,,11.354,10.296
L 98-59,d,Transit,GTO,1224,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,6,45102.53,45102.74,5.34,Birkmann,12,08 18 7.8951 -68 18 52.25,7.101,10.62,3412,0.312,0.312,4.94,7.4507305,0.05,88.45,0.007,0.141,9.67,3.68,411,0.1,0.8,45.51,0.02,X,-0.5,,,L 98-59 d,L 98-59 d,1,L 98-59,1.64,0.07,-0.07,2.2,0.2,-0.2,416,d,7.450729,0.0494,1.627,0.041,-0.041,0.84,29/7/2025,0.3155,3415,10.6194,7.933,7.101
Kepler-51,d,Transit,GO,2571,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,12,45103.09,45103.74,18.3,Libby-Roberts,12,19 45 55.1430 +49 56 15.54,13.197,783.83,5770,1.04,0.881,4.51,130.1780296,0.512,89.95,0.02,0.892,0.72,0.04,364.9,1.2,8.4,158.49,0,X,0.01,,,Kepler-51 d,Kepler-51 d,1,Kepler-51,7.6,1.1,-1.1,0.046,0.009,-0.009,381,d,130.194,0.509,9.7,0.5,-0.5,8.402,14/5/2014,0.94,6018,783.831,13.562,13.197
L 168-9,b,Transit,GO,2512,1,12,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45104.15,45104.38,5.97,Batalha,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,,L 168-9 b,L 168-9 b,1,L 168-9,4.07,0.45,-0.45,5.18,1.46,-1.46,998,b,1.40152604,0.0208,1.63,0.14,-0.14,1.02,30/8/2024,0.604,3842,25.1496,7.941,7.082
TRAPPIST-1,e,Transit,GTO,1331,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45105.92,45106.13,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,,TRAPPIST-1 e,TRAPPIST-1 e,1,TRAPPIST-1,0.692,0.022,-0.022,4.901605,0.165408,-0.181949,249.7,e,6.101013,0.02925,0.92,0.013,-0.012,0.9293,14/11/2022,0.1192,2566,,11.354,10.296
HD 189733,b,Eclipse,GO,2021,1,11,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45107.83,45108.07,6.34,Kilpatrick,12,20 00 43.7093 +22 42 35.19,5.541,19.76,5031.5,0.828,0.766,4.582,2.2185752,0.031,85.71,1.144,1.139,24.99,1.17,1204.9,2.3,1.8,861.48,299.93,X,-0.03,,,HD 189733 b,HD 189733 b,1,HD 189733,359.1479,25.4264,-25.4264,1.031,0.106,-0.09,1101.7,b,2.21857567,0.03126,12.66617,0.11209,-0.11209,1.8233621,3/12/2018,0.75,5052,19.7638,6.073,5.541
GJ 1132,b,Eclipse,GTO,1274,1,12,Executed,LRS,X,SLITLESSPRISM,FASTR1,28,45108.54,45108.78,6.42,Lunine,12,10 14 50.1767 -47 09 17.77,8.322,12.61,3270,0.181,0.216,4.881,1.6289302,0.015,88.16,0.005,0.106,12.86,6.48,591.6,0.2,0.8,44.36,0.44,X,-0.12,,,GJ 1132 b,GJ 1132 b,1,GJ 1132,1.83704819,0.19069704,-0.18751876,5.97,0.96,-0.79,583.8,b,1.62892911,0.0157,1.19151465,0.03811053,-0.04483592,0.76646,3/9/2024,0.2211,3229,12.613,9.245,8.322
HAT-P-26,b,Transit,GTO,1312,1,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,7,45109.05,45109.36,8.07,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,,HAT-P-26 b,HAT-P-26 b,1,HAT-P-26,22.2481,6.3566,-6.3566,0.4,0.1,-0.1,940.71,b,4.23452,0.0479,7.06167,0.44836,-0.44836,2.5166257,25/4/2018,0.87,5079,141.837,10.08,9.581
TRAPPIST-1,f,Transit,GTO,1201,1,102,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45110.96,45111.14,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,,TRAPPIST-1 f,TRAPPIST-1 f,1,TRAPPIST-1,1.039,0.031,-0.031,5.022904,0.13784,-0.159895,217.7,f,9.20754,0.03849,1.045,0.013,-0.012,1.048,14/11/2022,0.1192,2566,,11.354,10.296
WASP-107,b,Transit,GTO,1185,1,9,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,15,45111.68,45112.04,9.43,Greene,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,,WASP-107 b,WASP-107 b,1,WASP-107,30.5,1.7,-1.7,0.134,0.015,-0.013,672.5,b,5.7214742,0.0553,10.55,0.32,-0.32,2.7528,10/12/2020,0.67,4425,64.7414,9.378,8.637
K2-141,b,PhaseC,GO,2159,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,45112.25,45112.78,14.91,Espinoza,12,23 23 40.0950 -01 11 21.05,8.401,61.87,4570,0.707,0.681,4.602,0.2803244,0.007,86.3,0.016,0.135,25.16,9.99,2126.3,0.1,0.9,10,8.87,X,0.02,,,K2-141 b,K2-141 b,1,K2-141,4.97,0.35,-0.34,7.93,1,-0.91,2103,b,0.2803244,0.00747,1.51,0.05,-0.05,0.868,17/4/2023,0.681,4570,61.8736,9.086,8.401
LHS 1140,b,Transit,GO,2334,1,2,Executed,BOTS,G235H,SUB2048,NRSRAPID,8,45112.83,45113.11,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226,0.5,2.1,69.87,0,X,-0.24,unsure,yes,LHS 1140 b,LHS 1140 b,1,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096,14.9861,9.612001,8.821
TRAPPIST-1,b,Eclipse,GTO,1279,1,4,Executed,F1280W,X,FULL,FASTR1,15,45113.34,45113.55,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,b,Eclipse,GTO,1279,1,5,Executed,F1280W,X,FULL,FASTR1,15,45114.85,45115.06,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
L 98-59,c,Transit,GO,2512,1,16,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45116.5,45116.7,5.91,Batalha,0,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,3.6906745,0.031,88.5,0.007,0.12,13.83,6.15,519.5,0.2,1.3,34.45,0.16,X,-0.5,,,L 98-59 c,L 98-59 c,1,L 98-59,2,0.13,-0.13,4.7,0.5,-0.4,526,c,3.6906764,0.0309,1.329,0.029,-0.029,1.28,29/7/2025,0.3155,3415,10.6194,7.933,7.101
L 98-59,c,Transit,GO,2512,1,15,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45120.16,45120.39,5.91,Batalha,0,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,3.6906745,0.031,88.5,0.007,0.12,13.83,6.15,519.5,0.2,1.3,34.45,0.16,X,-0.5,,,L 98-59 c,L 98-59 c,1,L 98-59,2,0.13,-0.13,4.7,0.5,-0.4,526,c,3.6906764,0.0309,1.329,0.029,-0.029,1.28,29/7/2025,0.3155,3415,10.6194,7.933,7.101
TOI-178,b,Transit,GO,2319,1,3,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45120.58,45120.85,7.37,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4316,0.65,0.651,4.45,1.914558,0.026,88.8,0.005,0.103,12.66,6.59,1040,0,1.7,7.22,0.57,X,-0.23,unsure,no,TOI-178 b,TOI-178 b,1,TOI-178,1.5,0.39,-0.44,5.4,1.9,-1.7,1040,b,1.914558,0.02607,1.152,0.073,-0.07,1.692,12/3/2021,0.651,4316,62.699,9.372,8.656
TRAPPIST-1,h,Transit,GO,1981,1,53,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45121.11,45121.32,5.67,Stevenson,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.258,18.7700702,0.062,89.78,0.001,0.067,6.46,5.13,170.4,0.3,1.3,21.7,0,X,0.05,,,TRAPPIST-1 h,TRAPPIST-1 h,1,TRAPPIST-1,0.326,0.02,-0.02,4.16278,0.325303,-0.303249,171.7,h,18.772866,0.06189,0.755,0.014,-0.014,1.269,14/11/2022,0.1192,2566,,11.354,10.296
HD 209458,b,Transit,GO,2667,1,51,Executed,LRS,X,SLITLESSPRISM,FASTR1,7,45121.6,45121.95,9.37,Wakeford,12,22 03 10.8053 +18 53 3.27,6.308,48.3,6065,1.119,1.18,4.361,3.5247486,0.047,86.71,0.685,1.38,10.2,0.4,1464.3,1.6,3,920.51,191.81,X,0,,,HD 209458 b,HD 209458 b,1,HD 209458,232.0159,12.7132,-12.7132,0.333,0.014,-0.013,1371,b,3.52474859,0.04634,15.58051,0.22418,-0.22418,2.958,3/12/2018,1.19,6091,48.3016,6.591,6.308
TRAPPIST-1,b,Eclipse,GTO,1279,1,2,Executed,F1280W,X,FULL,FASTR1,15,45122.44,45122.63,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
HD 15337,b,Transit,GO,2512,1,17,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45123.91,45124.25,9.04,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,4.7560652,0.052,88.5,0.023,0.153,27.51,9.64,996.3,0,2.5,38.8,0.99,X,0.03,unsure,no,HD 15337 b,HD 15337 b,1,HD 15337,6.519,0.409,-0.4,6.458,0.518,-0.51,909.53,b,4.7559804,0.05245,1.77,0.032,-0.03,2.5469696,12/2/2025,0.855,5131,44.8155,7.553,7.044
GJ 1214,b,Transit,GTO,1185,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45125.26,45125.51,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026,0.157,0.211,5,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,flat,yes,GJ 1214 b,GJ 1214 b,1,GJ 1214,8.41,0.36,-0.35,2.26,0.11,-0.11,567,b,1.580404531,0.01505,2.733,0.033,-0.031,0.86966,25/3/2024,0.2162,3101,14.6427,9.75,8.782
GJ 1214,b,Transit,GTO,1185,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45126.84,45127.09,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026,0.157,0.211,5,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,,,GJ 1214 b,GJ 1214 b,1,GJ 1214,8.41,0.36,-0.35,2.26,0.11,-0.11,567,b,1.580404531,0.01505,2.733,0.033,-0.031,0.86966,25/3/2024,0.2162,3101,14.6427,9.75,8.782
HAT-P-1,b,Transit,GTO,1201,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45127.83,45128.13,8.46,Lafreniere,12,22 57 46.8872 +38 40 29.71,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,,HAT-P-1 b,HAT-P-1 b,1,HAT-P-1,166.86075,6.03877,-6.03877,0.282,0.01,-0.009,1322,b,4.46529976,0.05561,14.784671,0.212971,-0.212971,2.85,8/9/2015,1.174,5980,158.979,9.156,8.858
TRAPPIST-1,f,Transit,GTO,1201,1,103,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45129.38,45129.56,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,,TRAPPIST-1 f,TRAPPIST-1 f,1,TRAPPIST-1,1.039,0.031,-0.031,5.022904,0.13784,-0.159895,217.7,f,9.20754,0.03849,1.045,0.013,-0.012,1.048,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,b,Eclipse,GTO,1279,1,3,Executed,F1280W,X,FULL,FASTR1,15,45129.96,45130.17,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,e,Transit,GTO,1331,1,104,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45130.31,45130.52,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,,TRAPPIST-1 e,TRAPPIST-1 e,1,TRAPPIST-1,0.692,0.022,-0.022,4.901605,0.165408,-0.181949,249.7,e,6.101013,0.02925,0.92,0.013,-0.012,0.9293,14/11/2022,0.1192,2566,,11.354,10.296
HD 15337,c,Transit,GO,2512,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45131.17,45131.44,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,unsure,no,HD 15337 c,HD 15337 c,1,HD 15337,6.792,1.302,-1.143,2.303,0.505,-0.414,592.77,c,17.180546,0.1235,2.526,0.086,-0.075,2.1004813,12/2/2025,0.855,5131,44.8155,7.553,7.044
HAT-P-26,b,Eclipse,GTO,1312,1,104,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,45132.38,45132.7,9.1,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,,HAT-P-26 b,HAT-P-26 b,1,HAT-P-26,22.2481,6.3566,-6.3566,0.4,0.1,-0.1,940.71,b,4.23452,0.0479,7.06167,0.44836,-0.44836,2.5166257,25/4/2018,0.87,5079,141.837,10.08,9.581
LHS 1140,b,Transit,GO,2334,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,15,45137.57,45137.84,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226,0.5,2.1,69.87,0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096,14.9861,9.612001,8.821
GJ 3090,b,Transit,GO,4098,2,13,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45140.66,45140.86,5.22,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,,,GJ 3090 b,GJ 3090 b,1,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556,22.4751,8.168,7.294
