hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published
GJ 486,b,Transit,GO,1981,1,11,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44920.43,44920.63,5.19,Stevenson,0,12 47 55.5675 +09 44 57.91,6.362,8.07,3307,0.323,0.33,4.89,1.4671198,0.017,88.9,0.009,0.117,18.28,8.34,699.4,0.1,1,43,1.72,X,-0.15,,
L 98-59,d,Transit,GTO,1201,1,311,Executed,SOSS,X,SUBSTRIP96,NISRAPID,4,44923.69,44923.87,4.99,Lafreniere,12,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,7.4507305,0.05,88.45,0.007,0.141,9.67,3.68,411,0.1,0.8,45.51,0.02,X,-0.5,,
GJ 486,b,Transit,GO,1981,1,12,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44924.83,44925.03,5.19,Stevenson,0,12 47 55.5675 +09 44 57.91,6.362,8.07,3307,0.323,0.33,4.89,1.4671198,0.017,88.9,0.009,0.117,18.28,8.34,699.4,0.1,1,43,1.72,X,-0.15,,
GJ 436,b,Eclipse,GTO,1185,1,13,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT2,5,44926.88,44927.13,6.58,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
GJ 436,b,Eclipse,GTO,1185,1,11,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT2,5,44937.45,44937.7,6.58,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
WASP-107,b,Transit,GTO,1185,1,8,Executed,GTS,GRISMR+F322W2,SUBGRISM256,BRIGHT2,7,44940.03,44940.38,9.44,Greene,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
V1298 Tau,c,Transit,GO,2149,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,44940.74,44940.77,17.12,Desert,12,04 05 19.5970 +20 09 25.31,8.094,108.2,5050,1.101,1.33,-1,8.24925,0.083,88,0.24,0.46,32.15,3.74,973,0,4.7,22.36,2.07,X,0.1,,
GJ 436,b,Eclipse,GTO,1185,1,10,Executed,GTS,GRISMR+F322W2,SUBGRISM64,BRIGHT2,3,44942.74,44942.99,6.58,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
WASP-107,b,Transit,GTO,1280,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,40,44945.71,44946.11,10.65,Lagage,12,12 33 32.8480 -10 08 46.14,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
K2-18,b,Transit,GO,2722,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,12,44946.78,44947.05,7.16,Madhusudhan,12,11 30 14.4311 +07 35 16.13,8.899,38.03,3457,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0,X,0.12,,
HAT-P-12,b,Transit,GTO,1281,1,2,Executed,BOTS,G395M,SUB2048,NRSRAPID,30,44968.72,44969.04,8.34,Lagage,12,13 57 33.2749 +43 29 35.92,10.108,142.75,4650,0.733,0.701,4.61,3.2130584,0.038,89,0.209,0.959,6.46,0.36,958.3,2.1,2.3,325.59,13.61,X,-0.29,,
V1298 Tau,b,Transit,GO,2149,1,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,44969.17,44969.7,14.71,Desert,12,04 05 19.5970 +20 09 25.31,8.094,108.2,5010,1.101,1.33,4.246,24.1396,0.169,88.88,0.64,0.89,22.93,1.38,678.1,0.5,6.4,42.26,1.11,X,0.1,,
WASP-39,b,Transit,DD,2783,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,100,44971.57,44971.96,10.29,Powell,0,14 29 18.3955 -03 26 40.20,10.202,213.98,5326.6,0.918,1.013,4.389,4.0552804,0.049,87.76,0.28,1.279,4.85,0.2,1173.1,2.2,2.8,324.05,20.93,X,-0.03,,
TOI-836,c,Transit,GO,2512,1,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44973.5,44973.83,8.91,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514,0.678,0.678,4.662,8.5954646,0.075,88.7,0.03,0.233,15.75,3.61,654.2,0.1,2.5,119,0.49,X,-0.28,flat,yes
WASP-17,b,Transit,GTO,1353,1,1,Failed,SOSS,X,SUBSTRIP256,NISRAPID,8,44975.52,44976,12.72,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
GJ 367,b,PhaseC,GO,2508,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,44979.11,44979.68,15.84,Zhang,12,09 44 29.1514 -45 46 44.46,5.78,9.41,3522,0.454,0.458,4.777,0.3219233,0.007,80.32,0.002,0.064,12.81,10.7,1364.5,0,0.6,44.31,6.71,X,-0.01,,
GJ 1132,b,Transit,GO,1981,1,22,Executed,BOTS,G395H,SUB2048,NRSRAPID,14,44982.34,44982.52,4.62,Stevenson,0,10 14 50.1768 -47 09 17.77,8.322,12.61,3270,0.181,0.216,4.881,1.6289302,0.015,88.16,0.005,0.106,12.86,6.48,591.6,0.2,0.8,44.36,0.44,X,-0.12,,
HIP 67522,b,Transit,GO,2498,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,9,44984.1,44984.44,8.95,Mann,12,13 50 6.2402 -40 50 9.23,8.164,127.28,5675,1.22,1.38,4.438,6.9594724,0.075,89.34,-1,0.881,-1,-1,1175.8,0.5,4.8,-1,12.56,X,0,,
GJ 341,b,Transit,GO,1981,1,32,Executed,GTS,GRISMR+F444W,SUBGRISM128,BRIGHT1,3,44987.74,44988.01,7.1,Stevenson,0,09 21 35.8504 -60 16 52.21,5.587,10.45,3768,0.48,0.518,4.74,7.5768467,0.059,89.24,0.013,0.078,58.68,40.27,538,0,2.2,3.96,0.05,X,-0.16,,
TOI-836,b,Transit,GO,2512,1,9,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44989.7,44989.98,7.16,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514,0.678,0.678,4.662,3.8167281,0.042,87.57,0.014,0.152,17.6,6.21,872.2,0.1,1.7,92.23,1.11,X,-0.28,flat,yes
GJ 1132,b,Transit,GO,1981,1,21,Executed,BOTS,G395H,SUB2048,NRSRAPID,14,44990.48,44990.67,4.62,Stevenson,0,10 14 50.1768 -47 09 17.77,8.322,12.61,3270,0.181,0.216,4.881,1.6289302,0.015,88.16,0.005,0.106,12.86,6.48,591.6,0.2,0.8,44.36,0.44,X,-0.12,,
WASP-178,b,Transit,GO,2055,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,45,44992.28,44992.63,9.11,Lothringer,12,15 09 4.8930 -42 42 17.79,9.703,427.68,9360,2,1.76,4.31,3.344834,0.055,85.08,1.535,1.891,12.16,0.34,2549.7,1.2,3.5,173.36,77.53,X,0.08,,
TOI-836,b,Transit,GO,2512,1,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44993.52,44993.79,7.16,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514,0.678,0.678,4.662,3.8167281,0.042,87.57,0.014,0.152,17.6,6.21,872.2,0.1,1.7,92.23,1.11,X,-0.28,,
GJ 341,b,Transit,GO,1981,1,31,Executed,GTS,GRISMR+F444W,SUBGRISM128,BRIGHT1,3,44995.32,44995.59,7.1,Stevenson,0,09 21 35.8504 -60 16 52.21,5.587,10.45,3768,0.48,0.518,4.74,7.5768467,0.059,89.24,0.013,0.078,58.68,40.27,538,0,2.2,3.96,0.05,X,-0.16,,
NGTS-10,b,PhaseC,GO,2158,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,44996.08,44997,25.14,Parmentier,12,06 07 29.3400 -25 35 41.62,11.728,-1,4600,0.696,0.697,4.595,0.7668944,0.014,-1,2.162,1.205,42.2,1.87,1548.6,0,1.1,48.51,62.5,X,-0.02,,
WASP-17,b,Transit,GTO,1353,1,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,175,44997.94,44998.41,12.61,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
WASP-17,b,Eclipse,GTO,1353,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,175,44999.8,45000.27,12.61,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
WASP-17,b,Transit,GTO,1353,1,101,Executed,SOSS,X,SUBSTRIP256,NISRAPID,8,45005.41,45005.88,12.72,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
WASP-17,b,Eclipse,GTO,1353,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,8,45007.27,45007.75,12.72,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
55 Cnc,e,Eclipse,GO,1952,1,2,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45009.46,45009.76,7.87,Hu,12,08 52 35.8113 +28 19 50.96,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,X,0.35,,
WASP-17,b,Transit,GTO,1353,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,66,45016.62,45017.08,12.42,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
WASP-17,b,Eclipse,GTO,1353,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,66,45018.48,45018.95,12.42,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
GJ 341,b,Transit,GO,1981,1,33,Executed,GTS,GRISMR+F444W,SUBGRISM128,BRIGHT1,3,45033.23,45033.49,7.1,Stevenson,0,09 21 35.8504 -60 16 52.21,5.587,10.45,3768,0.48,0.518,4.74,7.5768467,0.059,89.24,0.013,0.078,58.68,40.27,538,0,2.2,3.96,0.05,X,-0.16,,
HD 189733,b,Transit,GO,1633,1,1,Executed,MRS,X,FULL,FASTR1,30,45040.11,45040.42,8.07,Deming,12,20 00 43.7093 +22 42 35.19,5.541,19.76,5031.5,0.828,0.766,4.582,2.2185752,0.031,85.71,1.144,1.139,24.99,1.17,1204.9,2.3,1.8,861.48,299.93,X,-0.03,,
55 Cnc,e,Eclipse,GO,2084,1,5,Executed,GTS,GRISMR+F444W,SUBGRISM64,RAPID,2,45040.44,45040.69,6.35,Brandeker,12,08 52 35.2410 +28 19 47.34,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,X,0.35,,
WD 1856+534,b,Transit,GO,2358,1,30,Executed,BOTS,PRISM,SUB2048,NRSRAPID,33,45043.39,45043.53,3.36,MacDonald,12,18 57 39.7755 +53 30 32.46,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,X,-999,,
K2-18,b,Transit,GO,2372,1,3,Failed,BOTS,G395H,SUB2048,NRSRAPID,16,45045.53,45045.55,11.35,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0,X,0.12,,
WASP-69,b,Eclipse,GTO,1177,1,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,16,45048.89,45049.21,8.3,Greene,12,21 00 6.2319 -05 05 41.49,7.459,49.96,4715,0.826,0.813,4.535,3.8681389,0.045,86.71,0.26,1.057,6.6,0.33,963.7,1.8,2.2,889.27,41.77,X,0.14,,
WASP-127,b,Transit,GO,2437,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,14,45054.31,45054.79,13.11,Pelletier,12,10 42 14.1035 -03 50 6.00,8.641,159.51,5620,1.08,1.369,4.18,4.178062,0.05,88.2,0.172,1.311,2.84,0.12,1415,1,4.3,769.49,44.07,X,-0.18,,
TOI-776,c,Transit,GO,2512,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45057.79,45058.14,9.55,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717,0.544,0.538,4.731,15.6653276,0.1,89.51,0.019,0.183,16.31,4.78,415.6,0.1,3,62.4,0.01,X,-0.2,flat,yes
WASP-43,b,PhaseC,GTO,1224,1,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,20,45060.38,45061.42,28.57,Birkmann,12,10 19 37.9634 -09 48 23.21,9.267,86.75,4400,0.65,0.667,4.573,0.8134741,0.015,82.11,1.899,1.006,53.19,2.83,1433.1,2.6,1.2,100.86,124.96,X,-0.05,,
TOI-776,b,Transit,GO,2512,1,6,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45070.07,45070.4,8.74,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717,0.544,0.538,4.731,8.2466166,0.065,89.65,0.014,0.16,15.6,5.2,514.7,0.1,2.4,70.97,0.06,X,-0.2,flat,yes
GJ 436,b,Eclipse,GTO,1177,1,4,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45072.29,45072.54,6.65,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
TOI-776,c,Transit,GO,2512,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45073.47,45073.81,9.55,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717,0.544,0.538,4.731,15.6653276,0.1,89.51,0.019,0.183,16.31,4.78,415.6,0.1,3,62.4,0.01,X,-0.2,,
WASP-107,b,Eclipse,GTO,1201,1,9,Failed,BOTS,G395H,SUB2048,NRSRAPID,20,45074.8,45074.83,10.85,Lafreniere,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
GJ 486,b,Eclipse,GO,1743,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,6,45075.18,45075.43,6.4,Weiner Mansfield,12,12 47 55.5675 +09 44 57.91,6.362,8.07,3307,0.323,0.33,4.89,1.4671198,0.017,88.9,0.009,0.117,18.28,8.34,699.4,0.1,1,43,1.72,X,-0.15,,
Kepler-51,b,Transit,GO,2454,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,17,45075.75,45076.3,15.01,Gao,12,19 45 55.1430 +49 56 15.54,13.197,783.83,5786.5,1.035,0.896,4.51,45.1553007,0.253,89.95,0.011,0.642,0.78,0.06,525.2,0.7,5.8,146.54,0.01,X,0.01,,
HD 189733,b,Transit,GO,1633,1,2,Executed,MRS,X,FULL,FASTR1,30,45077.84,45078.13,8.07,Deming,12,20 00 43.7093 +22 42 35.19,5.541,19.76,5031.5,0.828,0.766,4.582,2.2185752,0.031,85.71,1.144,1.139,24.99,1.17,1204.9,2.3,1.8,861.48,299.93,X,-0.03,,
GJ 486,b,Eclipse,GO,1743,1,2,Executed,LRS,X,SLITLESSPRISM,FASTR1,6,45078.13,45078.37,6.4,Weiner Mansfield,12,12 47 55.5675 +09 44 57.91,6.362,8.07,3307,0.323,0.33,4.89,1.4671198,0.017,88.9,0.009,0.117,18.28,8.34,699.4,0.1,1,43,1.72,X,-0.15,,
K2-18,b,Transit,GO,2722,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45078.58,45078.82,6.94,Madhusudhan,12,11 30 14.4311 +07 35 16.13,8.899,38.03,3457,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0,X,0.12,clear,yes
L 168-9,b,Transit,GO,2512,1,13,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45080.32,45080.55,5.97,Batalha,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,
WASP-69,b,Eclipse,GTO,1185,1,7,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,5,45083.71,45084.02,8.22,Greene,12,21 00 6.2319 -05 05 41.49,7.459,49.96,4715,0.826,0.813,4.535,3.8681389,0.045,86.71,0.26,1.057,6.6,0.33,963.7,1.8,2.2,889.27,41.77,X,0.14,,
HAT-P-12,b,Transit,GTO,1281,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,150,45084.39,45084.7,8.29,Lagage,12,13 57 33.2749 +43 29 35.92,10.108,142.75,4650,0.733,0.701,4.61,3.2130584,0.038,89,0.209,0.959,6.46,0.36,958.3,2.1,2.3,325.59,13.61,X,-0.29,,
K2-141,b,PhaseC,GO,2347,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,41,45085.13,45086.05,25.12,Dang,12,23 23 40.0911 -01 11 21.06,8.401,61.87,4570,0.707,0.681,4.602,0.2803244,0.007,86.3,0.016,0.135,25.16,9.99,2126.3,0.1,0.9,10,8.87,X,0.02,,
TOI-776,b,Transit,GO,2512,1,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45086.56,45086.89,8.74,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717,0.544,0.538,4.731,8.2466166,0.065,89.65,0.014,0.16,15.6,5.2,514.7,0.1,2.4,70.97,0.06,X,-0.2,,
WASP-52,b,Eclipse,GTO,1224,1,4,Executed,BOTS,PRISM,SUB512S,NRSRAPID,3,45087.36,45087.61,6.59,Birkmann,12,23 13 58.7501 +08 45 39.86,10.086,174.82,5000,0.87,0.79,4.503,1.7497812,0.027,85.35,0.46,1.27,8.08,0.34,1300.2,2.9,1.9,371.56,57.4,X,0.03,,
HAT-P-26,b,Transit,GTO,1177,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,90,45087.86,45088.19,8.84,Greene,12,14 12 37.5722 +04 03 33.90,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
WASP-107,b,Transit,GTO,1201,1,8,Executed,SOSS,X,SUBSTRIP256,NISRAPID,5,45088.79,45089.1,8.26,Lafreniere,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
WASP-80,b,Eclipse,GTO,1185,1,5,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,12,45090.31,45090.61,7.95,Greene,12,20 12 40.0319 -02 08 39.97,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,
HATS-72,b,Transit,GO,2594,1,2,Executed,SOSS,X,FULL,NISRAPID,4,45091.11,45091.16,8.32,Spake,12,22 36 6.2016 -17 00 1.10,9.764,127.59,4656.1,0.731,0.721,4.585,7.3279485,0.067,89.56,0.125,0.785,5.77,0.39,739.4,1.4,3,254.14,2.59,X,0.1,,
HAT-P-26,b,Transit,GTO,1312,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,45092.12,45092.42,7.93,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
TRAPPIST-1,f,Transit,GTO,1201,1,105,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45092.52,45092.73,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,
WD 1856+534,b,Transit,GO,2507,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,16,45094.08,45094.21,3.03,Vanderburg,12,18 57 39.7620 +53 30 32.49,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,X,-999,,
HAT-P-26,b,Eclipse,GTO,1312,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,115,45094.21,45094.56,9.5,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
LP 791-18,c,Transit,GTO,1201,1,401,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45094.68,45094.89,5.22,Lafreniere,12,11 02 45.7162 -16 24 23.20,10.644,26.49,2960,0.139,0.171,5.115,4.9899134,0.03,89.55,0.022,0.218,13.38,3.29,343.9,1.9,1.2,183.37,0.01,X,-0.09,clear,no
L 168-9,b,Transit,GO,2512,1,11,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45095.74,45095.97,5.97,Batalha,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,
LHS 3844,b,Eclipse,GO,1846,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,30,45096.12,45096.25,4.08,Kreidberg,12,22 41 59.0890 -69 10 19.59,9.145,14.88,3036,0.151,0.189,5.06,0.4629294,0.006,88.5,-1,0.119,-1,-1,807,0.4,0.5,-1,4.03,X,-999,,
HAT-P-12,b,Transit,GTO,1281,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,15,45097.24,45097.55,8.25,Lagage,12,13 57 33.2749 +43 29 35.92,10.108,142.75,4650,0.733,0.701,4.61,3.2130584,0.038,89,0.209,0.959,6.46,0.36,958.3,2.1,2.3,325.59,13.61,X,-0.29,,
LHS 475,b,Transit,GO,1981,1,45,Failed,BOTS,G395H,SUB2048,NRSRAPID,9,45098.95,45099.01,4.64,Stevenson,0,19 20 57.1077 -82 33 35.24,7.686,12.48,3289,0.268,0.286,4.967,2.029101,0.02,87.29,-1,0.088,-1,-1,594.3,0.1,0.7,-1,0.24,X,-999,,
TRAPPIST-1,e,Transit,GTO,1331,1,3,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45099.8,45100.02,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,
WASP-107,b,Transit,GTO,1224,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,20,45100.24,45100.55,8.59,Birkmann,12,12 33 32.7394 -10 08 46.38,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
TRAPPIST-1,f,Transit,GTO,1201,1,104,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45101.78,45101.95,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,
L 98-59,d,Transit,GTO,1224,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,6,45102.53,45102.74,5.34,Birkmann,12,08 18 7.8951 -68 18 52.25,7.101,10.62,3412,0.312,0.312,4.94,7.4507305,0.05,88.45,0.007,0.141,9.67,3.68,411,0.1,0.8,45.51,0.02,X,-0.5,,
Kepler-51,d,Transit,GO,2571,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,12,45103.09,45103.74,18.3,Libby-Roberts,12,19 45 55.1430 +49 56 15.54,13.197,783.83,5770,1.04,0.881,4.51,130.1780296,0.512,89.95,0.02,0.892,0.72,0.04,364.9,1.2,8.4,158.49,0,X,0.01,,
L 168-9,b,Transit,GO,2512,1,12,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45104.15,45104.38,5.97,Batalha,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,
TRAPPIST-1,e,Transit,GTO,1331,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45105.92,45106.13,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,
HD 189733,b,Eclipse,GO,2021,1,11,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45107.83,45108.07,6.34,Kilpatrick,12,20 00 43.7093 +22 42 35.19,5.541,19.76,5031.5,0.828,0.766,4.582,2.2185752,0.031,85.71,1.144,1.139,24.99,1.17,1204.9,2.3,1.8,861.48,299.93,X,-0.03,,
GJ 1132,b,Eclipse,GTO,1274,1,12,Executed,LRS,X,SLITLESSPRISM,FASTR1,28,45108.54,45108.78,6.42,Lunine,12,10 14 50.1767 -47 09 17.77,8.322,12.61,3270,0.181,0.216,4.881,1.6289302,0.015,88.16,0.005,0.106,12.86,6.48,591.6,0.2,0.8,44.36,0.44,X,-0.12,,
HAT-P-26,b,Transit,GTO,1312,1,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,7,45109.05,45109.36,8.07,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
